Ticker,Entry Date,Exit Date,PnL
MTSI,2022-08-16,2022-08-21,-368726.04593006347
MC,2023-06-16,2023-06-21,-388818.7113597374
NLY,2022-09-16,2022-09-21,-390480.59532144415
GEV,2024-04-01,2024-04-06,-396617.04175266845
ZI,2023-06-16,2023-06-21,-404449.97678194963
GPK,2023-06-16,2023-06-21,-421435.9121701468
HAYW,2023-09-28,2023-10-03,-436678.21966190555
KW,2023-03-17,2023-03-22,-458471.32447090046
FND,2023-10-19,2023-10-24,-480584.0625552729
MARA,2024-05-07,2024-05-12,-509678.5680442287
SDGR,2023-06-16,2023-06-21,-559765.9564399865
OUT,2022-09-16,2022-09-21,-568026.8632375086
DT,2022-09-16,2022-09-21,-601264.7441008646
VICI,2022-06-07,2022-06-12,-613445.0458471283
PRVA,2023-06-13,2023-06-18,-627476.8762420628
MBC,2022-12-14,2022-12-19,-835015.4210460585
CPRX,2022-09-14,2022-09-19,-938479.5467919054
EHAB,2022-06-30,2022-07-05,-966950.6348276049
SATS,2023-12-29,2024-01-03,-1016951.9117433731
XPER,2022-09-30,2022-10-05,-1458129.4401285702
RXO,2022-10-31,2022-11-05,-1761311.074595642
